req_height,time,current_height,error,u,motor,acceleration,current_speed
5.00,6395,0.00,5.00000,0.01,0.01,1.20,0.01
5.00,6419,0.00,5.00000,0.04,0.04,1.20,0.04
5.00,6441,0.00,5.00000,0.06,0.06,1.20,0.06
5.00,6464,0.00,5.00000,0.09,0.09,1.20,0.09
5.00,6488,0.00,4.99976,0.12,0.12,1.20,0.12
5.00,6510,0.00,4.99928,0.15,0.15,1.20,0.15
5.00,6533,0.00,4.99881,0.17,0.17,1.20,0.17
5.00,6556,0.00,4.99785,0.20,0.20,1.20,0.20
5.00,6579,0.00,4.99618,0.23,0.23,1.20,0.23
5.00,6601,0.01,4.99427,0.26,0.26,1.20,0.26
5.00,6625,0.01,4.99165,0.28,0.28,1.20,0.28
5.00,6647,0.01,4.98855,0.31,0.31,1.20,0.31
5.00,6670,0.02,4.98473,0.34,0.34,1.20,0.34
5.00,6693,0.02,4.98044,0.36,0.36,1.20,0.36
5.00,6716,0.02,4.97543,0.39,0.39,1.20,0.39
5.00,6738,0.03,4.96994,0.42,0.42,1.20,0.42
5.00,6762,0.04,4.96374,0.45,0.45,1.20,0.45
5.00,6785,0.04,4.95706,0.48,0.48,1.20,0.48
5.00,6807,0.05,4.94967,0.50,0.50,1.20,0.50
5.00,6831,0.06,4.94179,0.53,0.53,1.20,0.53
5.00,6853,0.07,4.93344,0.56,0.56,1.20,0.56
5.00,6877,0.08,4.92438,0.59,0.59,1.20,0.59
5.00,6899,0.09,4.91460,0.61,0.61,1.20,0.61
5.00,6922,0.10,4.90410,0.64,0.64,1.20,0.64
5.00,6945,0.11,4.89337,0.67,0.67,1.20,0.67
5.00,6968,0.12,4.88192,0.69,0.69,1.20,0.69
5.00,6990,0.13,4.86975,0.72,0.72,1.20,0.72
5.00,7014,0.14,4.85711,0.75,0.75,1.20,0.75
5.00,7036,0.16,4.84375,0.78,0.78,1.20,0.78
5.00,7059,0.17,4.83015,0.81,0.81,1.20,0.81
5.00,7083,0.18,4.81584,0.83,0.83,1.20,0.83
5.00,7105,0.20,4.80081,0.86,0.86,1.20,0.86
5.00,7128,0.21,4.78554,0.89,0.89,1.20,0.89
5.00,7151,0.23,4.76932,0.91,0.91,1.20,0.91
5.00,7174,0.25,4.75262,0.94,0.94,1.20,0.94
5.00,7196,0.26,4.73521,0.97,0.97,1.20,0.97
5.00,7220,0.28,4.71732,1.00,1.00,1.20,1.00
