time,current_height,error,u,motor,acceleration,current_speed
6401,0.00,5.00000,0.01,0.01,1.20,0.01
6421,0.00,5.00000,0.03,0.03,1.20,0.03
6441,0.00,5.00000,0.06,0.06,1.20,0.06
6461,0.00,5.00000,0.08,0.08,1.20,0.08
6481,0.00,5.00000,0.11,0.11,1.20,0.11
6502,0.00,4.99976,0.13,0.13,1.20,0.13
6522,0.00,4.99952,0.15,0.15,1.20,0.15
6543,0.00,4.99905,0.18,0.18,1.20,0.18
6563,0.00,4.99785,0.20,0.20,1.20,0.20
6583,0.00,4.99666,0.23,0.23,1.20,0.23
6603,0.01,4.99475,0.25,0.25,1.20,0.25
6624,0.01,4.99260,0.28,0.28,1.20,0.28
6644,0.01,4.98998,0.30,0.30,1.20,0.30
6665,0.01,4.98712,0.33,0.33,1.20,0.33
6684,0.02,4.98354,0.35,0.35,1.20,0.35
6705,0.02,4.97948,0.37,0.37,1.20,0.37
6725,0.02,4.97519,0.40,0.40,1.20,0.40
6746,0.03,4.97018,0.42,0.42,1.20,0.42
6766,0.04,4.96469,0.45,0.45,1.20,0.45
6786,0.04,4.95873,0.47,0.47,1.20,0.47
6806,0.05,4.95253,0.50,0.50,1.20,0.50
6827,0.05,4.94561,0.52,0.52,1.20,0.52
6847,0.06,4.93822,0.54,0.54,1.20,0.54
6867,0.07,4.93058,0.57,0.57,1.20,0.57
6887,0.08,4.92223,0.59,0.59,1.20,0.59
6907,0.09,4.91364,0.62,0.62,1.20,0.62
6928,0.10,4.90434,0.64,0.64,1.20,0.64
6948,0.11,4.89480,0.67,0.67,1.20,0.67
6969,0.12,4.88478,0.69,0.69,1.20,0.69
6988,0.13,4.87428,0.71,0.71,1.20,0.71
7009,0.14,4.86331,0.74,0.74,1.20,0.74
7029,0.15,4.85186,0.76,0.76,1.20,0.76
7050,0.16,4.83993,0.79,0.79,1.20,0.79
7070,0.17,4.82777,0.81,0.81,1.20,0.81
7090,0.18,4.81512,0.84,0.84,1.20,0.84
7110,0.20,4.80200,0.86,0.86,1.20,0.86
7131,0.21,4.78864,0.89,0.89,1.20,0.89
7151,0.23,4.77457,0.91,0.91,1.20,0.91
7172,0.24,4.76002,0.93,0.93,1.20,0.93
7191,0.26,4.74499,0.96,0.96,1.20,0.96
7212,0.27,4.72948,0.98,0.98,1.20,0.98
7239,0.29,4.71350,1.01,1.00,0.86,1.00
7260,0.31,4.69108,9.02,1.00,0.00,1.00
7280,0.33,4.67390,8.96,1.00,0.00,1.00
7301,0.34,4.65649,8.92,1.00,0.00,1.00
7320,0.36,4.63884,8.88,1.00,0.00,1.00
7341,0.38,4.62094,8.86,1.00,0.00,1.00
7361,0.40,4.60305,8.80,1.00,0.00,1.00
7382,0.42,4.58469,8.77,1.00,0.00,1.00
7402,0.43,4.56655,8.70,1.00,0.00,1.00
7421,0.45,4.54819,8.68,1.00,0.00,1.00
7442,0.47,4.52958,8.66,1.00,0.00,1.00
7462,0.49,4.51121,8.60,1.00,0.00,1.00
7483,0.51,4.49260,8.58,1.00,0.00,1.00
7503,0.53,4.47400,8.50,1.00,0.00,1.00
7523,0.54,4.45515,8.50,1.00,0.00,1.00
7543,0.56,4.43655,8.45,1.00,0.00,1.00
7564,0.58,4.41794,8.43,1.00,0.00,1.00
7584,0.60,4.39909,8.37,1.00,0.00,1.00
7605,0.62,4.38049,8.36,1.00,0.00,1.00
7625,0.64,4.36164,8.27,1.00,0.00,1.00
7645,0.66,4.34280,8.28,1.00,0.00,1.00
7665,0.68,4.32419,8.22,1.00,0.00,1.00
7686,0.69,4.30534,8.20,1.00,0.00,1.00
7706,0.71,4.28674,8.15,1.00,0.00,1.00
7727,0.73,4.26789,8.11,1.00,0.00,1.00
7746,0.75,4.24905,8.07,1.00,0.00,1.00
7767,0.77,4.23020,8.05,1.00,0.00,1.00
7787,0.79,4.21135,7.99,1.00,0.00,1.00
7808,0.81,4.19251,7.98,1.00,0.00,1.00
7828,0.83,4.17366,7.89,1.00,0.00,1.00
7847,0.85,4.15482,7.88,1.00,0.00,1.00
7868,0.86,4.13597,7.86,1.00,0.00,1.00
7888,0.88,4.11713,7.80,1.00,0.00,1.00
7909,0.90,4.09804,7.78,1.00,0.00,1.00
7929,0.92,4.07920,7.70,1.00,0.00,1.00
7949,0.94,4.06035,7.71,1.00,0.00,1.00
7969,0.96,4.04151,7.65,1.00,0.00,1.00
7990,0.98,4.02266,7.64,1.00,0.00,1.00
8010,1.00,4.00382,7.58,1.00,0.00,1.00
8031,1.02,3.98473,7.53,1.00,0.00,1.00
8050,1.03,3.96589,7.50,1.00,0.00,1.00
8071,1.05,3.94704,7.49,1.00,0.00,1.00
8091,1.07,3.92844,7.43,1.00,0.00,1.00
8112,1.09,3.90959,7.41,1.00,0.00,1.00
8132,1.11,3.89074,7.33,1.00,0.00,1.00
8152,1.13,3.87190,7.34,1.00,0.00,1.00
8172,1.15,3.85305,7.28,1.00,0.00,1.00
8193,1.17,3.83397,7.25,1.00,0.00,1.00
8213,1.18,3.81512,7.20,1.00,0.00,1.00
8233,1.20,3.79628,7.14,1.00,0.00,1.00
8253,1.22,3.77719,7.14,1.00,0.00,1.00
8273,1.24,3.75835,7.09,1.00,0.00,1.00
8294,1.26,3.73927,7.07,1.00,0.00,1.00
8314,1.28,3.72042,7.01,1.00,0.00,1.00
8335,1.30,3.70134,6.97,1.00,0.00,1.00
8354,1.32,3.68249,6.93,1.00,0.00,1.00
8375,1.34,3.66341,6.91,1.00,0.00,1.00
8395,1.36,3.64456,6.86,1.00,0.00,1.00
8416,1.37,3.62572,6.84,1.00,0.00,1.00
8436,1.39,3.60663,6.75,1.00,0.00,1.00
8457,1.41,3.58779,6.77,1.00,0.00,1.00
8476,1.43,3.56870,6.70,1.00,0.00,1.00
8497,1.45,3.54986,6.69,1.00,0.00,1.00
8517,1.47,3.53101,6.63,1.00,0.00,1.00
8538,1.49,3.51193,6.61,1.00,0.00,1.00
8558,1.51,3.49308,6.53,1.00,0.00,1.00
8578,1.53,3.47424,6.54,1.00,0.00,1.00
8598,1.54,3.45539,6.48,1.00,0.00,1.00
8619,1.56,3.43631,6.46,1.00,0.00,1.00
8639,1.58,3.41746,6.40,1.00,0.00,1.00
8659,1.60,3.39862,6.34,1.00,0.00,1.00
8679,1.62,3.37977,6.35,1.00,0.00,1.00
8699,1.64,3.36093,6.29,1.00,0.00,1.00
8720,1.66,3.34208,6.28,1.00,0.00,1.00
8740,1.68,3.32323,6.22,1.00,0.00,1.00
8761,1.70,3.30439,6.18,1.00,0.00,1.00
8780,1.71,3.28554,6.14,1.00,0.00,1.00
8801,1.73,3.26646,6.12,1.00,0.00,1.00
8821,1.75,3.24761,6.07,1.00,0.00,1.00
8842,1.77,3.22877,6.05,1.00,0.00,1.00
8862,1.79,3.20969,5.96,1.00,0.00,1.00
8882,1.81,3.19084,5.97,1.00,0.00,1.00
8902,1.83,3.17176,5.91,1.00,0.00,1.00
8923,1.85,3.15267,5.89,1.00,0.00,1.00
8943,1.87,3.13383,5.84,1.00,0.00,1.00
8964,1.89,3.11474,5.79,1.00,0.00,1.00
8983,1.90,3.09566,5.76,1.00,0.00,1.00
9004,1.92,3.07657,5.74,1.00,0.00,1.00
9024,1.94,3.05773,5.69,1.00,0.00,1.00
9044,1.96,3.03864,5.64,1.00,0.00,1.00
9065,1.98,3.01956,5.60,1.00,0.00,1.00
9084,2.00,3.00072,5.57,1.00,0.00,1.00
9105,2.02,2.98163,5.55,1.00,0.00,1.00
9125,2.04,2.96279,5.50,1.00,0.00,1.00
9146,2.06,2.94370,5.47,1.00,0.00,1.00
9166,2.08,2.92486,5.39,1.00,0.00,1.00
9186,2.09,2.90577,5.40,1.00,0.00,1.00
9206,2.11,2.88693,5.34,1.00,0.00,1.00
9227,2.13,2.86784,5.32,1.00,0.00,1.00
9247,2.15,2.84900,5.27,1.00,0.00,1.00
9268,2.17,2.82991,5.22,1.00,0.00,1.00
9288,2.19,2.81107,5.19,1.00,0.00,1.00
9308,2.21,2.79198,5.17,1.00,0.00,1.00
9328,2.23,2.77314,5.12,1.00,0.00,1.00
9349,2.25,2.75406,5.09,1.00,0.00,1.00
9369,2.26,2.73521,5.04,1.00,0.00,1.00
9390,2.28,2.71613,5.00,1.00,0.00,1.00
9409,2.30,2.69704,4.96,1.00,0.00,1.00
9430,2.32,2.67820,4.95,1.00,0.00,1.00
9450,2.34,2.65911,4.88,1.00,0.00,1.00
9470,2.36,2.64027,4.85,1.00,0.00,1.00
9491,2.38,2.62118,4.81,1.00,0.00,1.00
9510,2.40,2.60234,4.77,1.00,0.00,1.00
9531,2.42,2.58325,4.75,1.00,0.00,1.00
9551,2.44,2.56441,4.70,1.00,0.00,1.00
9572,2.45,2.54532,4.68,1.00,0.00,1.00
9592,2.47,2.52648,4.60,1.00,0.00,1.00
9612,2.49,2.50739,4.60,1.00,0.00,1.00
9632,2.51,2.48831,4.54,1.00,0.00,1.00
9653,2.53,2.46947,4.53,1.00,0.00,1.00
9673,2.55,2.45038,4.46,1.00,0.00,1.00
9694,2.57,2.43154,4.43,1.00,0.00,1.00
9713,2.59,2.41245,4.39,1.00,0.00,1.00
9734,2.61,2.39361,4.38,1.00,0.00,1.00
9754,2.63,2.37452,4.31,1.00,0.00,1.00
9775,2.64,2.35568,4.30,1.00,0.00,1.00
9795,2.66,2.33659,4.21,1.00,0.00,1.00
9815,2.68,2.31751,4.22,1.00,0.00,1.00
9835,2.70,2.29866,4.17,1.00,0.00,1.00
9856,2.72,2.27958,4.15,1.00,0.00,1.00
9876,2.74,2.26073,4.09,1.00,0.00,1.00
9896,2.76,2.24165,4.02,1.00,0.00,1.00
9916,2.78,2.22281,4.04,1.00,0.00,1.00
9936,2.80,2.20372,3.97,1.00,0.00,1.00
9957,2.82,2.18464,3.96,1.00,0.00,1.00
9977,2.83,2.16579,3.90,1.00,0.00,1.00
9998,2.85,2.14671,3.86,1.00,0.00,1.00
10017,2.87,2.12786,3.83,1.00,0.00,1.00
10039,2.89,2.10830,3.81,1.00,0.00,1.00
10059,2.91,2.08874,3.73,1.00,0.00,1.00
10080,2.93,2.06942,3.72,1.00,0.00,1.00
10101,2.95,2.04986,3.67,1.00,0.00,1.00
10122,2.97,2.03053,3.64,1.00,0.00,1.00
10142,2.99,2.01097,3.57,1.00,0.00,1.00
10164,3.01,1.99141,3.56,1.00,0.00,1.00
10184,3.03,1.97209,3.53,1.00,0.00,1.00
10205,3.05,1.95253,3.48,1.00,0.00,1.00
10226,3.07,1.93321,3.42,1.00,0.00,1.00
10247,3.09,1.91364,3.42,1.00,0.00,1.00
10267,3.11,1.89432,3.35,1.00,0.00,1.00
10289,3.13,1.87476,3.32,1.00,0.00,1.00
10309,3.14,1.85520,3.29,1.00,0.00,1.00
10330,3.16,1.83588,3.25,1.00,0.00,1.00
10350,3.18,1.81632,3.18,1.00,0.00,1.00
10372,3.20,1.79699,3.20,1.00,0.00,1.00
10392,3.22,1.77743,3.11,1.00,0.00,1.00
10413,3.24,1.75787,3.09,1.00,0.00,1.00
10434,3.26,1.73855,3.06,1.00,0.00,1.00
10455,3.28,1.71899,3.01,1.00,0.00,1.00
10475,3.30,1.69967,2.96,1.00,0.00,1.00
10497,3.32,1.68011,2.94,1.00,0.00,1.00
10517,3.34,1.66054,2.90,1.00,0.00,1.00
10537,3.36,1.64122,2.84,1.00,0.00,1.00
10559,3.38,1.62166,2.82,1.00,0.00,1.00
10579,3.40,1.60210,2.78,1.00,0.00,1.00
10600,3.42,1.58278,2.75,1.00,0.00,1.00
10621,3.44,1.56322,2.68,1.00,0.00,1.00
10642,3.46,1.54365,2.68,1.00,0.00,1.00
10662,3.48,1.52433,2.61,1.00,0.00,1.00
10683,3.50,1.50477,2.58,1.00,0.00,1.00
10704,3.51,1.48521,2.55,1.00,0.00,1.00
10725,3.53,1.46565,2.51,1.00,0.00,1.00
10745,3.55,1.44633,2.45,1.00,0.00,1.00
10767,3.57,1.42677,2.45,1.00,0.00,1.00
10787,3.59,1.40720,2.37,1.00,0.00,1.00
10808,3.61,1.38764,2.35,1.00,0.00,1.00
10829,3.63,1.36832,2.29,1.00,0.00,1.00
10850,3.65,1.34876,2.29,1.00,0.00,1.00
10870,3.67,1.32920,2.21,1.00,0.00,1.00
10892,3.69,1.30988,2.20,1.00,0.00,1.00
10912,3.71,1.29031,2.16,1.00,0.00,1.00
10933,3.73,1.27075,2.12,1.00,0.00,1.00
10954,3.75,1.25143,2.06,1.00,0.00,1.00
10975,3.77,1.23187,2.06,1.00,0.00,1.00
10995,3.79,1.21231,1.98,1.00,0.00,1.00
11016,3.81,1.19299,1.97,1.00,0.00,1.00
11037,3.83,1.17343,1.92,1.00,0.00,1.00
11058,3.85,1.15386,1.88,1.00,0.00,1.00
11078,3.87,1.13454,1.83,1.00,0.00,1.00
11100,3.89,1.11498,1.83,1.00,0.00,1.00
11120,3.90,1.09542,1.74,1.00,0.00,1.00
11141,3.92,1.07586,1.73,1.00,0.00,1.00
11162,3.94,1.05630,1.66,1.00,0.00,1.00
11183,3.96,1.03674,1.67,1.00,0.00,1.00
11203,3.98,1.01718,1.59,1.00,0.00,1.00
11225,4.00,0.99738,1.56,1.00,0.00,1.00
11245,4.02,0.97781,1.53,1.00,0.00,1.00
11266,4.04,0.95825,1.49,1.00,0.00,1.00
11287,4.06,0.93893,1.44,1.00,0.00,1.00
11308,4.08,0.91937,1.44,1.00,0.00,1.00
11328,4.10,0.89981,1.35,1.00,0.00,1.00
11348,4.12,0.88049,1.32,1.00,0.00,1.00
11370,4.14,0.86093,1.32,1.00,0.00,1.00
11390,4.16,0.84160,1.24,1.00,0.00,1.00
11411,4.18,0.82204,1.22,1.00,0.00,1.00
11432,4.20,0.80272,1.19,1.00,0.00,1.00
11453,4.22,0.78316,1.14,1.00,0.00,1.00
11473,4.24,0.76384,1.09,1.00,0.00,1.00
11495,4.26,0.74427,1.06,1.00,0.00,1.00
11515,4.28,0.72471,1.02,1.00,0.00,1.00
11536,4.29,0.70539,0.99,0.99,-0.39,0.99
11557,4.31,0.68535,0.93,0.93,-2.72,0.93
11579,4.33,0.66555,0.92,0.92,-0.57,0.92
11600,4.35,0.64575,0.86,0.86,-2.90,0.86
11622,4.37,0.62643,0.83,0.83,-1.30,0.83
11642,4.39,0.60759,0.81,0.81,-1.25,0.81
11664,4.41,0.58898,0.80,0.80,-0.52,0.80
11685,4.43,0.57133,0.76,0.76,-1.56,0.76
11707,4.45,0.55391,0.75,0.75,-0.47,0.75
11728,4.46,0.53721,0.70,0.70,-2.75,0.70
11749,4.48,0.52075,0.71,0.71,0.47,0.71
11770,4.49,0.50549,0.69,0.69,-0.95,0.69
11792,4.51,0.49022,0.66,0.66,-1.45,0.66
11812,4.52,0.47519,0.63,0.63,-1.16,0.63
11834,4.54,0.46088,0.64,0.64,0.18,0.64
11855,4.55,0.44728,0.60,0.60,-2.09,0.60
11876,4.57,0.43392,0.61,0.61,0.44,0.61
11897,4.58,0.42104,0.56,0.56,-2.21,0.56
11919,4.59,0.40816,0.56,0.56,0.16,0.56
11939,4.60,0.39623,0.55,0.55,-0.72,0.55
11961,4.62,0.38430,0.53,0.53,-1.13,0.53
11981,4.63,0.37261,0.51,0.51,-0.84,0.51
12003,4.64,0.36140,0.51,0.51,0.05,0.51
12024,4.65,0.35067,0.47,0.47,-1.75,0.47
12045,4.66,0.34017,0.48,0.48,0.40,0.48
12066,4.67,0.33015,0.46,0.46,-0.95,0.46
12088,4.68,0.32013,0.44,0.44,-0.95,0.44
12108,4.69,0.31059,0.43,0.43,-0.37,0.43
12130,4.70,0.30105,0.43,0.43,-0.40,0.43
12151,4.71,0.29198,0.41,0.41,-0.81,0.41
12173,4.72,0.28316,0.41,0.41,-0.11,0.41
12194,4.73,0.27457,0.38,0.38,-1.56,0.38
12215,4.73,0.26622,0.38,0.38,0.37,0.38
12236,4.74,0.25835,0.37,0.37,-0.64,0.37
12258,4.75,0.25072,0.36,0.36,-0.46,0.36
12278,4.76,0.24308,0.35,0.35,-0.73,0.35
12300,4.76,0.23593,0.35,0.35,0.22,0.35
12321,4.77,0.22901,0.33,0.33,-1.20,0.33
12342,4.78,0.22209,0.33,0.33,0.09,0.33
12363,4.78,0.21565,0.31,0.31,-0.83,0.31
12385,4.79,0.20921,0.31,0.31,0.08,0.31
12405,4.80,0.20324,0.31,0.31,-0.36,0.31
12427,4.80,0.19728,0.29,0.29,-0.57,0.29
12447,4.81,0.19132,0.28,0.28,-0.57,0.28
12469,4.81,0.18559,0.28,0.28,0.02,0.28
12490,4.82,0.18010,0.26,0.26,-0.90,0.26
12511,4.83,0.17462,0.27,0.27,0.07,0.27
12532,4.83,0.16961,0.26,0.26,-0.22,0.26
12554,4.84,0.16460,0.25,0.25,-0.48,0.25
12574,4.84,0.15959,0.24,0.24,-0.48,0.24
12596,4.85,0.15482,0.24,0.24,0.06,0.24
12617,4.85,0.15029,0.23,0.23,-0.70,0.23
12638,4.85,0.14575,0.23,0.23,0.06,0.23
12659,4.86,0.14170,0.22,0.22,-0.32,0.22
12680,4.86,0.13740,0.22,0.22,-0.22,0.22
12701,4.87,0.13335,0.21,0.21,-0.34,0.21
12723,4.87,0.12929,0.21,0.21,-0.17,0.21
12744,4.87,0.12548,0.20,0.20,-0.30,0.20
12766,4.88,0.12166,0.20,0.20,-0.16,0.20
12787,4.88,0.11808,0.19,0.19,-0.49,0.19
12808,4.89,0.11450,0.19,0.19,0.04,0.19
12829,4.89,0.11116,0.18,0.18,-0.44,0.18
12851,4.89,0.10782,0.18,0.18,0.04,0.18
12871,4.90,0.10472,0.18,0.18,-0.20,0.18
12893,4.90,0.10162,0.17,0.17,-0.30,0.17
12913,4.90,0.09852,0.16,0.16,-0.29,0.16
12935,4.90,0.09566,0.17,0.17,0.14,0.17
12956,4.91,0.09280,0.16,0.16,-0.61,0.16
12977,4.91,0.09017,0.16,0.16,0.30,0.16
12998,4.91,0.08755,0.15,0.15,-0.38,0.15
13020,4.92,0.08469,0.14,0.14,-0.54,0.14
13040,4.92,0.08230,0.15,0.15,0.31,0.15
13062,4.92,0.07991,0.14,0.14,-0.23,0.14
13083,4.92,0.07753,0.14,0.14,-0.23,0.14
13104,4.92,0.07514,0.14,0.14,-0.10,0.14
13125,4.93,0.07300,0.14,0.14,-0.06,0.14
13147,4.93,0.07085,0.13,0.13,-0.09,0.13
13168,4.93,0.06870,0.13,0.13,-0.32,0.13
13190,4.93,0.06656,0.12,0.12,-0.20,0.12
13210,4.94,0.06465,0.12,0.12,0.09,0.12
13232,4.94,0.06274,0.12,0.12,-0.08,0.12
13253,4.94,0.06083,0.11,0.11,-0.41,0.11
13274,4.94,0.05892,0.12,0.12,0.02,0.12
13295,4.94,0.05725,0.11,0.11,-0.09,0.11
13317,4.94,0.05558,0.11,0.11,0.02,0.11
13337,4.95,0.05391,0.11,0.11,-0.24,0.11
13359,4.95,0.05224,0.11,0.11,-0.16,0.11
13379,4.95,0.05057,0.10,0.10,-0.16,0.10
13401,4.95,0.04914,0.11,0.11,0.20,0.11
13422,4.95,0.04771,0.10,0.10,-0.31,0.10
13443,4.95,0.04628,0.10,0.10,0.02,0.10
13464,4.96,0.04485,0.10,0.10,-0.21,0.10
13486,4.96,0.04342,0.09,0.09,-0.14,0.09
13506,4.96,0.04222,0.10,0.10,0.16,0.10
13528,4.96,0.04103,0.09,0.09,-0.11,0.09
13549,4.96,0.03960,0.09,0.09,-0.41,0.09
13570,4.96,0.03841,0.09,0.09,0.21,0.09
13591,4.96,0.03721,0.09,0.09,-0.25,0.09
13612,4.96,0.03626,0.09,0.09,0.28,0.09
13633,4.96,0.03507,0.08,0.08,-0.43,0.08
13655,4.97,0.03411,0.09,0.09,0.18,0.09
13675,4.97,0.03292,0.08,0.08,-0.38,0.08
13697,4.97,0.03197,0.08,0.08,0.22,0.08
13717,4.97,0.03101,0.08,0.08,-0.20,0.08
13739,4.97,0.03006,0.08,0.08,0.01,0.08
13759,4.97,0.02910,0.08,0.08,-0.20,0.08
13780,4.97,0.02815,0.07,0.07,-0.04,0.07
